id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
42432,Peter Treacy Grant,M,22.0,180.0,70.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,
42432,Peter Treacy Grant,M,22.0,180.0,70.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,
42525,Elaine Dorothy Gray,F,18.0,170.0,56.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,
42525,Elaine Dorothy Gray,F,18.0,170.0,56.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
42532,John Joseph Gray,M,29.0,170.0,57.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 10,000 metres",
42532,John Joseph Gray,M,29.0,170.0,57.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Individual",
42532,John Joseph Gray,M,29.0,170.0,57.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Silver
42533,"John Lee ""Johnny"" Gray, Jr.",M,24.0,191.0,75.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,
42533,"John Lee ""Johnny"" Gray, Jr.",M,28.0,191.0,75.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
42533,"John Lee ""Johnny"" Gray, Jr.",M,32.0,191.0,75.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,Bronze
42533,"John Lee ""Johnny"" Gray, Jr.",M,36.0,191.0,75.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,
42538,Nelson Alexander Gray,M,21.0,186.0,100.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,
42540,Pauline Elizabeth Gray (-Christison),F,17.0,160.0,54.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,
42540,Pauline Elizabeth Gray (-Christison),F,17.0,160.0,54.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,
42547,Simon Gray,M,21.0,184.0,75.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,
42547,Simon Gray,M,21.0,184.0,75.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,"Swimming Men's 1,500 metres Freestyle",
