name,age,weight,height,noc,sport,sex
A Dijiang,24.0,80.0,180.0,CHN,Basketball,M
"David ""Dave"" Abbott",26.0,75.0,183.0,USA,Athletics,M
Youcef Abdi,30.0,66.0,178.0,AUS,Athletics,M
Youcef Abdi,34.0,66.0,178.0,AUS,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",23.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",27.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",31.0,61.0,178.0,USA,Athletics,M
"Abdihakim ""Abdi"" Abdirahman",35.0,61.0,178.0,USA,Athletics,M
Julius Shareef Abdur-Rahim,23.0,104.0,202.0,USA,Basketball,M
Isao Ko Abe,24.0,75.0,177.0,JPN,Athletics,M
Naoki Abe,23.0,68.0,173.0,JPN,Athletics,M
Shigeaki Abe,24.0,70.0,178.0,JPN,Basketball,M
Shigeaki Abe,28.0,70.0,178.0,JPN,Basketball,M
Katja Abel,25.0,55.0,165.0,GER,Gymnastics,F
Arthur Abele,22.0,85.0,184.0,GER,Athletics,M
Arthur Abele,30.0,85.0,184.0,GER,Athletics,M
Mitsuhiro Abiko,19.0,62.0,169.0,JPN,Athletics,M
Tomomi Abiko,24.0,53.0,173.0,JPN,Athletics,F
"Edgar Allen ""Ed"" Ablowich",19.0,68.0,182.0,USA,Athletics,M
"Matthew ""Matt"" Abood",30.0,92.0,197.0,AUS,Swimming,M
"Alexander ""Alex"" Abraham (Steglitz)",25.0,84.0,186.0,GER,Athletics,M
Gary Abraham,17.0,64.0,175.0,GBR,Swimming,M
Gary Abraham,21.0,64.0,175.0,GBR,Swimming,M
Harold Maurice Abrahams,20.0,75.0,183.0,GBR,Athletics,M
Harold Maurice Abrahams,24.0,75.0,183.0,GBR,Athletics,M
Brian Kenneth Abshire,24.0,59.0,180.0,USA,Athletics,M
Ginko Abukawa-Chiba,22.0,46.0,148.0,JPN,Gymnastics,F
Ginko Abukawa-Chiba,26.0,46.0,148.0,JPN,Gymnastics,F
Shigeru Aburaya,27.0,51.0,163.0,JPN,Athletics,M
Kieron Robert Achara,29.0,110.0,208.0,GBR,Basketball,M
"Onochie Lawrence ""Larry"" Achike",25.0,75.0,188.0,GBR,Athletics,M
"Onochie Lawrence ""Larry"" Achike",33.0,75.0,188.0,GBR,Athletics,M
Ricardo Augusto Amaral Acioly,24.0,78.0,179.0,BRA,Tennis,M
Georg Ackermann,24.0,75.0,191.0,GER,Athletics,M
"Amelia Lynn ""Amy"" Acuff (-Harvey)",21.0,66.0,188.0,USA,Athletics,F
"Amelia Lynn ""Amy"" Acuff (-Harvey)",25.0,66.0,188.0,USA,Athletics,F
"Amelia Lynn ""Amy"" Acuff (-Harvey)",29.0,66.0,188.0,USA,Athletics,F
"Amelia Lynn ""Amy"" Acuff (-Harvey)",33.0,66.0,188.0,USA,Athletics,F
"Amelia Lynn ""Amy"" Acuff (-Harvey)",37.0,66.0,188.0,USA,Athletics,F
Kiyoshi Adachi,22.0,60.0,179.0,JPN,Athletics,M
Marcus Adam,24.0,82.0,182.0,GBR,Athletics,M
Anne Wilma Adams (-King),16.0,54.0,165.0,GBR,Swimming,F
"Benjamin Willard ""Ben"" Adams",22.0,78.0,188.0,USA,Athletics,M
Brian Adams,27.0,67.0,183.0,GBR,Athletics,M
Natalie Cammile Adams (-Brannan),20.0,65.0,173.0,USA,Swimming,F
Natalie Cammile Adams (-Brannan),24.0,65.0,173.0,USA,Swimming,F
Liam Adams,29.0,64.0,178.0,AUS,Athletics,M
Luke Kendall Adams,27.0,70.0,189.0,AUS,Athletics,M
Luke Kendall Adams,31.0,70.0,189.0,AUS,Athletics,M
Luke Kendall Adams,35.0,70.0,189.0,AUS,Athletics,M
Platt Adams,23.0,78.0,188.0,USA,Athletics,M
Platt Adams,27.0,78.0,188.0,USA,Athletics,M
"Frances ""Fran"" Adcock",20.0,72.0,178.0,AUS,Swimming,F
"William Arthur ""Bill"" Adcocks",26.0,55.0,168.0,GBR,Athletics,M
Margaret Adetutu Adeoye,27.0,65.0,162.0,GBR,Athletics,F
Adilson de Freitas Nascimento,20.0,88.0,195.0,BRA,Basketball,M
Adilson de Freitas Nascimento,28.0,88.0,195.0,BRA,Basketball,M
Adilson de Freitas Nascimento,32.0,88.0,195.0,BRA,Basketball,M
Amanda Jo Adkins (-Schneider),23.0,61.0,173.0,USA,Swimming,F
"Bradley Don ""Brad"" Adkins",22.0,80.0,188.0,USA,Athletics,M
Derrick Ralph Adkins,26.0,80.0,188.0,USA,Athletics,M
"Rebecca ""Becky"" Adlington",19.0,70.0,179.0,GBR,Swimming,F
"Rebecca ""Becky"" Adlington",23.0,70.0,179.0,GBR,Swimming,F
Jane Admans,21.0,53.0,165.0,GBR,Swimming,F
Nathan Ghar-Jun Adrian,19.0,100.0,198.0,USA,Swimming,M
Nathan Ghar-Jun Adrian,23.0,100.0,198.0,USA,Swimming,M
Nathan Ghar-Jun Adrian,27.0,100.0,198.0,USA,Swimming,M
Adriana Aparecida dos Santos,21.0,61.0,180.0,BRA,Basketball,F
Adriana Aparecida dos Santos,25.0,61.0,180.0,BRA,Basketball,F
Adriana Aparecida dos Santos,29.0,61.0,180.0,BRA,Basketball,F
"Adriana ""Adrianinha"" Moiss Pinto",21.0,65.0,170.0,BRA,Basketball,F
"Adriana ""Adrianinha"" Moiss Pinto",25.0,65.0,170.0,BRA,Basketball,F
"Adriana ""Adrianinha"" Moiss Pinto",29.0,65.0,170.0,BRA,Basketball,F
"Adriana ""Adrianinha"" Moiss Pinto",33.0,65.0,170.0,BRA,Basketball,F
"Adriana ""Adrianinha"" Moiss Pinto",37.0,65.0,170.0,BRA,Basketball,F
Elisngela Maria Adriano,23.0,96.0,180.0,BRA,Athletics,F
Elisngela Maria Adriano,32.0,96.0,180.0,BRA,Athletics,F
Elisngela Maria Adriano,36.0,96.0,180.0,BRA,Athletics,F
Andre Kirk Agassi,26.0,80.0,180.0,USA,Tennis,M
Eduardo Nilton Agra Galvo,26.0,78.0,194.0,BRA,Basketball,M
Francis Keita Agyepong,27.0,73.0,179.0,GBR,Athletics,M
Francis Keita Agyepong,31.0,73.0,179.0,GBR,Athletics,M
"Jacqueline Nana A. D. ""Jackie"" Agyepong",23.0,63.0,172.0,GBR,Athletics,F
"Jacqueline Nana A. D. ""Jackie"" Agyepong",27.0,63.0,172.0,GBR,Athletics,F
"Nicholas Mark ""Nick"" A'Hern",23.0,61.0,169.0,AUS,Athletics,M
"Nicholas Mark ""Nick"" A'Hern",27.0,61.0,169.0,AUS,Athletics,M
"Nicholas Mark ""Nick"" A'Hern",31.0,61.0,169.0,AUS,Athletics,M
Michael H. G. Ah Matt,21.0,73.0,188.0,AUS,Basketball,M
"Daniel William ""Dan"" Ahearn (Ahearne-)",32.0,69.0,178.0,USA,Athletics,M
"Timothy Joseph ""Tim"" Ahearne",22.0,57.0,170.0,GBR,Athletics,M
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",22.0,52.0,172.0,USA,Swimming,F
Erich Ahrendt,27.0,81.0,174.0,GER,Athletics,M
Ai Yanhan,14.0,54.0,168.0,CHN,Swimming,F
Nobuyuki Aihara,21.0,53.0,154.0,JPN,Gymnastics,M
Nobuyuki Aihara,25.0,53.0,154.0,JPN,Gymnastics,M
Yutaka Aihara,21.0,55.0,156.0,JPN,Gymnastics,M
Harry Leslie Aikines-Aryeetey,27.0,87.0,180.0,GBR,Athletics,M
Yukiko Akaba,28.0,43.0,158.0,JPN,Athletics,F
Kriss Kezie Uche Chukwu Duru Akabusi,25.0,81.0,185.0,GBR,Athletics,M
Kriss Kezie Uche Chukwu Duru Akabusi,29.0,81.0,185.0,GBR,Athletics,M
Kriss Kezie Uche Chukwu Duru Akabusi,33.0,81.0,185.0,GBR,Athletics,M
Stephen George Akers,21.0,82.0,190.0,GBR,Swimming,M
Morolake Akinosun,22.0,61.0,163.0,USA,Athletics,F
Kozu Akutsu,27.0,51.0,162.0,JPN,Athletics,M
"William Everett ""Bill"" Albans",22.0,77.0,190.0,USA,Athletics,M
"David Donald ""Dave"" Albritton",23.0,79.0,191.0,USA,Athletics,M
Emmy Albus (-Liersch),24.0,57.0,172.0,GER,Athletics,F
Kyle Scott Alcorn,27.0,82.0,185.0,USA,Athletics,M
Yamil Aldama Pozo (-Dodds),39.0,62.0,173.0,GBR,Athletics,F
"James Noel Carroll ""Jim"" Alder",28.0,64.0,172.0,GBR,Athletics,M
"Frederick Pitt ""Fred"" Alderman",22.0,75.0,177.0,USA,Athletics,M
"Joan ""Jody"" Alderson (-Braskamp)",17.0,59.0,170.0,USA,Swimming,F
Erin Marie Aldrich,22.0,62.0,186.0,USA,Athletics,F
Alessandra dos Santos de Oliveira,22.0,85.0,200.0,BRA,Basketball,F
Alessandra dos Santos de Oliveira,26.0,85.0,200.0,BRA,Basketball,F
Alessandra dos Santos de Oliveira,30.0,85.0,200.0,BRA,Basketball,F
Fiona Michelle Alessandri (-Wildy),20.0,61.0,175.0,AUS,Swimming,F
Jane Elizabeth Alexander,17.0,52.0,162.0,GBR,Swimming,F
"Stephen Todd ""Steve"" Alford",19.0,74.0,185.0,USA,Basketball,M
"Zenny ""Algodo"" de Azevedo",23.0,77.0,183.0,BRA,Basketball,M
"Zenny ""Algodo"" de Azevedo",27.0,77.0,183.0,BRA,Basketball,M
"Zenny ""Algodo"" de Azevedo",31.0,77.0,183.0,BRA,Basketball,M
"Zenny ""Algodo"" de Azevedo",35.0,77.0,183.0,BRA,Basketball,M
Nia Sifaatihii Ali,27.0,65.0,170.0,USA,Athletics,F
Peter Ali,24.0,91.0,194.0,AUS,Basketball,M
Diane Allahgreen (-Hawkins),25.0,63.0,164.0,GBR,Athletics,F
Lesley Allardice,15.0,50.0,162.0,GBR,Swimming,F
Devon Allen,21.0,84.0,185.0,USA,Athletics,M
Dominique Jayne Allen,22.0,85.0,188.0,GBR,Basketball,F
"Frederick Harold ""Fred"" Allen",21.0,65.0,177.0,USA,Athletics,M
John William Allen,34.0,70.0,175.0,USA,Athletics,M
James Kanati Allen,21.0,64.0,173.0,USA,Gymnastics,M
Malcolm Allen,23.0,74.0,185.0,AUS,Swimming,M
Monique Marie Allen,16.0,46.0,157.0,AUS,Gymnastics,F
Monique Marie Allen,20.0,46.0,157.0,AUS,Gymnastics,F
Walter Ray Allen,25.0,93.0,192.0,USA,Basketball,M
Sophie Nicole Allen,20.0,65.0,170.0,GBR,Swimming,F
"Francis William ""Bill"" Alley",24.0,101.0,190.0,USA,Athletics,M
"Edward James ""Ted"" Allsopp",30.0,80.0,179.0,AUS,Athletics,M
"Edward James ""Ted"" Allsopp",38.0,80.0,179.0,AUS,Athletics,M
Lynne Marie Allsup (-Olson),15.0,59.0,163.0,USA,Swimming,F
Brandonn Pierry Cruz de Almeida,19.0,73.0,186.0,BRA,Swimming,M
Kaio Mrcio Ferreira Costa de Almeida,19.0,75.0,177.0,BRA,Swimming,M
Kaio Mrcio Ferreira Costa de Almeida,23.0,75.0,177.0,BRA,Swimming,M
Kaio Mrcio Ferreira Costa de Almeida,27.0,75.0,177.0,BRA,Swimming,M
Kaio Mrcio Ferreira Costa de Almeida,31.0,75.0,177.0,BRA,Swimming,M
Maria Laura Almiro,26.0,50.0,162.0,BRA,Athletics,F
Maria Laura Almiro,30.0,50.0,162.0,BRA,Athletics,F
Uzodinma Anthony Alozie,25.0,79.0,171.0,AUS,Athletics,M
Barbara Alred (-Collins),18.0,52.0,157.0,GBR,Gymnastics,F
"Frederick John ""Fred"" Alsop",21.0,75.0,183.0,GBR,Athletics,M
"Frederick John ""Fred"" Alsop",25.0,75.0,183.0,GBR,Athletics,M
"Frederick John ""Fred"" Alsop",29.0,75.0,183.0,GBR,Athletics,M
Tabea Lara Alt,16.0,50.0,158.0,GER,Gymnastics,F
Valeyta Roi Althouse,22.0,102.0,175.0,USA,Athletics,F
Higor Silva Alves,22.0,64.0,183.0,BRA,Athletics,M
Misa Amano,17.0,53.0,161.0,JPN,Swimming,F
Yoshihiro Amano,21.0,62.0,168.0,JPN,Athletics,M
Cleide Amaral,29.0,68.0,165.0,BRA,Athletics,F
Amaury Antnio Pasos,20.0,90.0,190.0,BRA,Basketball,M
Amaury Antnio Pasos,24.0,90.0,190.0,BRA,Basketball,M
Amaury Antnio Pasos,28.0,90.0,190.0,BRA,Basketball,M
"Judith Florence ""Judy"" Amoore-Pollock",24.0,55.0,163.0,AUS,Athletics,F
"Judith Florence ""Judy"" Amoore-Pollock",36.0,55.0,163.0,AUS,Athletics,F
Patricia Filler Amorim,19.0,53.0,165.0,BRA,Swimming,F
Linda Amos,18.0,73.0,173.0,GBR,Swimming,F
Thomas Andergassen,24.0,62.0,166.0,GER,Gymnastics,M
Thomas Andergassen,28.0,62.0,166.0,GER,Gymnastics,M
Helga-Beate Anders-Gummelt,24.0,53.0,169.0,GER,Athletics,F
Helga-Beate Anders-Gummelt,28.0,53.0,169.0,GER,Athletics,F
Helga-Beate Anders-Gummelt,32.0,53.0,169.0,GER,Athletics,F
David Emil Andersen,24.0,102.0,211.0,AUS,Basketball,M
David Emil Andersen,28.0,102.0,211.0,AUS,Basketball,M
David Emil Andersen,32.0,102.0,211.0,AUS,Basketball,M
David Emil Andersen,36.0,102.0,211.0,AUS,Basketball,M
Alyssa Jean Anderson,21.0,64.0,173.0,USA,Swimming,F
Andrea Arlene Anderson (-Bolder),22.0,61.0,164.0,USA,Athletics,F
"Christopher Daniel ""Chris"" Anderson",28.0,74.0,189.0,AUS,Athletics,M
David Lennon James Anderson,26.0,80.0,194.0,AUS,Athletics,M
Haley Danita Anderson,20.0,68.0,178.0,USA,Swimming,F
Haley Danita Anderson,24.0,68.0,178.0,USA,Swimming,F
"Judith ""Jodi"" Anderson",26.0,57.0,168.0,USA,Athletics,F
John Franklin Anderson,20.0,97.0,191.0,USA,Athletics,M
John Franklin Anderson,25.0,97.0,191.0,USA,Athletics,M
Jon Peter Anderson,22.0,72.0,187.0,USA,Athletics,M
Karl Walter Anderson,23.0,70.0,186.0,USA,Athletics,M
Lewis Robbins Anderson,21.0,59.0,183.0,USA,Athletics,M
Lindsey Anderson (Olson-),23.0,52.0,163.0,USA,Athletics,F
Norman Frederick Anderson,22.0,97.0,183.0,USA,Athletics,M
Otto Kenneth Anderson,23.0,68.0,175.0,USA,Athletics,M
Rose Anderson,24.0,75.0,178.0,GBR,Basketball,F
Shani Anderson,25.0,64.0,176.0,GBR,Athletics,F
"Stephen Eugene ""Steve"" Anderson",22.0,77.0,190.0,USA,Athletics,M
Wayne Robert Anderson,19.0,70.0,175.0,USA,Swimming,M
"William Lloyd ""Willie"" Anderson, Jr.",21.0,86.0,200.0,USA,Basketball,M
Karen Linnea Anderson-Oldham,18.0,53.0,165.0,USA,Athletics,F
Karen Linnea Anderson-Oldham,22.0,53.0,165.0,USA,Athletics,F
Kate Suzanne Anderson-Richardson,22.0,51.0,168.0,AUS,Athletics,F
Kate Suzanne Anderson-Richardson,26.0,51.0,168.0,AUS,Athletics,F
Rebeca Rodrigues de Andrade,17.0,46.0,151.0,BRA,Gymnastics,F
Andr Ernesto Stoffel,20.0,90.0,202.0,BRA,Basketball,M
Nilson de Oliveira Andr,26.0,72.0,172.0,BRA,Athletics,M
Thiago do Rosario Andr,20.0,52.0,163.0,BRA,Athletics,M
Armin Andres,33.0,76.0,180.0,GER,Basketball,M
"Janice ""Jan"" Andrew (-Thornett)",16.0,54.0,162.0,AUS,Swimming,F
"Jessica ""Jess"" Andrews (-Martin)",23.0,52.0,168.0,GBR,Athletics,F
"Robert Adrian ""Robby"" Andrews",25.0,66.0,178.0,USA,Athletics,M
"Susan Elizabeth ""Sue"" Andrews",21.0,62.0,173.0,AUS,Athletics,F
"Susan Elizabeth ""Sue"" Andrews",29.0,62.0,173.0,AUS,Athletics,F
Theresa Andrews,21.0,62.0,167.0,USA,Swimming,F
Milton Sanford Angier,20.0,79.0,180.0,USA,Athletics,M
Keith Angus,33.0,59.0,170.0,GBR,Athletics,M
Emma Iwebunor Ania,28.0,63.0,173.0,GBR,Athletics,F
Justin John Anlezark,23.0,127.0,188.0,AUS,Athletics,M
Justin John Anlezark,26.0,127.0,188.0,AUS,Athletics,M
Justin John Anlezark,30.0,127.0,188.0,AUS,Athletics,M
"Christine Frances ""Chris"" Annison-Stanton",20.0,67.0,183.0,AUS,Athletics,F
"Christine Frances ""Chris"" Annison-Stanton",24.0,67.0,183.0,AUS,Athletics,F
"Christine Frances ""Chris"" Annison-Stanton",28.0,67.0,183.0,AUS,Athletics,F
"Christopher John ""Chris"" Anstey",25.0,112.0,213.0,AUS,Basketball,M
"Christopher John ""Chris"" Anstey",33.0,112.0,213.0,AUS,Basketball,M
Carmelo Kyan Anthony,20.0,109.0,203.0,USA,Basketball,M
Carmelo Kyan Anthony,24.0,109.0,203.0,USA,Basketball,M
Carmelo Kyan Anthony,28.0,109.0,203.0,USA,Basketball,M
Carmelo Kyan Anthony,32.0,109.0,203.0,USA,Basketball,M
Kumao Aochi,21.0,60.0,172.0,JPN,Athletics,M
Mayumi Aoki (-Nishiguti),19.0,63.0,164.0,JPN,Swimming,F
Sayaka Aoki,21.0,50.0,162.0,JPN,Athletics,F
Tomomi Aoki,21.0,55.0,164.0,JPN,Swimming,F
Reiko Aonuma (-Fujisawa),22.0,73.0,181.0,JPN,Basketball,F
Shinji Aoto,21.0,73.0,178.0,JPN,Athletics,M
Shinji Aoto,25.0,73.0,178.0,JPN,Athletics,M
Ayari Aoyama,14.0,42.0,152.0,JPN,Swimming,F
Jos Aparecido Aparecido dos Santos,21.0,88.0,201.0,BRA,Basketball,M
Jos Aparecido Aparecido dos Santos,25.0,88.0,201.0,BRA,Basketball,M
"Frederick ""Fred"" Appleby",29.0,51.0,164.0,GBR,Athletics,M
"William Reuben ""Willie"" Applegarth",21.0,59.0,170.0,GBR,Athletics,M
Hirooki Arai,28.0,62.0,180.0,JPN,Athletics,M
Ryohei Arai,25.0,96.0,183.0,JPN,Athletics,M
Kumi Araki,22.0,40.0,153.0,JPN,Athletics,F
Jos Roberto Diiz Aranha,17.0,82.0,191.0,BRA,Swimming,M
Jos Roberto Diiz Aranha,21.0,82.0,191.0,BRA,Swimming,M
Rmulo Duncan Arantes Filho,15.0,75.0,185.0,BRA,Swimming,M
Rmulo Duncan Arantes Filho,19.0,75.0,185.0,BRA,Swimming,M
Rmulo Duncan Arantes Filho,23.0,75.0,185.0,BRA,Swimming,M
Yota Arase,18.0,74.0,180.0,JPN,Swimming,M
Luiz Alberto Cardoso de Arajo,25.0,88.0,188.0,BRA,Athletics,M
Luiz Alberto Cardoso de Arajo,29.0,88.0,188.0,BRA,Athletics,M
Geisa Rafaela Arcanjo,20.0,92.0,180.0,BRA,Athletics,F
Geisa Rafaela Arcanjo,24.0,92.0,180.0,BRA,Athletics,F
"Robert Michael Archibald, Jr.",32.0,113.0,211.0,GBR,Basketball,M
Alice Jean Arden (-Hodge),22.0,61.0,170.0,USA,Athletics,F
Daphne Arden (-Slater),22.0,60.0,167.0,GBR,Athletics,F
John Clifford Argue,22.0,66.0,180.0,USA,Athletics,M
Yuko Arimori (-Wilson),25.0,47.0,166.0,JPN,Athletics,F
Yuko Arimori (-Wilson),29.0,47.0,166.0,JPN,Athletics,F
Simon Graham Arkell,26.0,78.0,185.0,AUS,Athletics,M
Simon Graham Arkell,30.0,78.0,185.0,AUS,Athletics,M
"Heather Joy Armitage (-Young, -McClelland)",19.0,64.0,171.0,GBR,Athletics,F
"Heather Joy Armitage (-Young, -McClelland)",23.0,64.0,171.0,GBR,Athletics,F
"Raymond Richard ""Ray"" Armstead",24.0,76.0,187.0,USA,Athletics,M
Duncan John D'Arcy Armstrong,20.0,74.0,187.0,AUS,Swimming,M
Duncan John D'Arcy Armstrong,24.0,74.0,187.0,AUS,Swimming,M
Gary Armstrong,20.0,65.0,181.0,GBR,Athletics,M
"Michel Taylor ""Tate"" Armstrong",20.0,77.0,190.0,USA,Basketball,M
Daniel Arnamnart,22.0,80.0,178.0,AUS,Swimming,M
Jirka Arndt,27.0,62.0,178.0,GER,Athletics,M
Jay Joseph Hoyland Arnette,21.0,79.0,188.0,USA,Basketball,M
"Edward Randall ""Eddie"" Arnold",22.0,69.0,169.0,GBR,Gymnastics,M
Elizabeth Emma Arnold,19.0,47.0,162.0,GBR,Swimming,F
"Samantha ""Sam"" Arsenault (-Livingstone)",18.0,69.0,178.0,USA,Swimming,F
Wayne Arthurs,33.0,80.0,191.0,AUS,Tennis,M
Shinobu Asagoe,24.0,58.0,168.0,JPN,Tennis,F
Shinobu Asagoe,28.0,58.0,168.0,JPN,Tennis,F
Nobuharu Asahara,24.0,76.0,179.0,JPN,Athletics,M
Nobuharu Asahara,28.0,76.0,179.0,JPN,Athletics,M
Nobuharu Asahara,32.0,76.0,179.0,JPN,Athletics,M
Nobuharu Asahara,36.0,76.0,179.0,JPN,Athletics,M
Eriko Asai,28.0,40.0,150.0,JPN,Athletics,F
Kiyoshi Asai,24.0,60.0,167.0,JPN,Athletics,M
Yoshiro Asakuma,22.0,65.0,180.0,JPN,Athletics,M
Noriko Asano,17.0,57.0,158.0,JPN,Swimming,F
Junko Asari,26.0,42.0,164.0,JPN,Athletics,F
Ronnie Ash,28.0,95.0,188.0,USA,Athletics,M
"Walter Stuart ""Walt"" Ashbaugh",23.0,77.0,188.0,USA,Athletics,M
"William Nyman ""Bill"" Ashenfelter",27.0,68.0,185.0,USA,Athletics,M
"Horace Ashenfelter, III",29.0,66.0,178.0,USA,Athletics,M
"Horace Ashenfelter, III",33.0,66.0,178.0,USA,Athletics,M
"Geraldina Rachel ""Dina"" Asher-Smith",20.0,55.0,164.0,GBR,Athletics,F
Evelyn Ashford (-Washington),19.0,52.0,165.0,USA,Athletics,F
Evelyn Ashford (-Washington),27.0,52.0,165.0,USA,Athletics,F
Evelyn Ashford (-Washington),31.0,52.0,165.0,USA,Athletics,F
Evelyn Ashford (-Washington),35.0,52.0,165.0,USA,Athletics,F
Whitney Jordan Ashley,27.0,91.0,178.0,USA,Athletics,F
Diana Elizabeth Ashton,16.0,61.0,167.0,GBR,Swimming,F
"Andrew John ""Andy"" Ashurst",23.0,69.0,178.0,GBR,Athletics,M
Jessica Ashwood,19.0,64.0,173.0,AUS,Swimming,F
Jessica Ashwood,23.0,64.0,173.0,AUS,Swimming,F
"Gerald Howard ""Gerry"" Ashworth",22.0,75.0,180.0,USA,Athletics,M
"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",27.0,59.0,181.0,GER,Athletics,F
"Andrew ""Andy"" Astbury",19.0,81.0,185.0,GBR,Swimming,M
"Andrew ""Andy"" Astbury",23.0,81.0,185.0,GBR,Swimming,M
Horst Astroth,36.0,68.0,176.0,GER,Athletics,M
Tracey Ann Atkin,17.0,57.0,170.0,GBR,Swimming,F
"Jeffrey Patrick ""Jeff"" Atkinson",25.0,68.0,185.0,USA,Athletics,M
Joanne Louise Atkinson,17.0,62.0,165.0,GBR,Swimming,F
John David Atkinson,20.0,71.0,184.0,AUS,Athletics,M
Leigh Atkinson,22.0,77.0,184.0,GBR,Swimming,M
John Cox Atlee,25.0,66.0,180.0,USA,Athletics,M
Kim Attlesey,19.0,59.0,171.0,USA,Athletics,F
Duncan Fuller MacTavish Atwood,28.0,98.0,186.0,USA,Athletics,M
"Susanne Jean ""Susie"" Atwood",15.0,66.0,170.0,USA,Swimming,F
"Susanne Jean ""Susie"" Atwood",19.0,66.0,170.0,USA,Swimming,F
Myrtle Sharon Mary Augee,23.0,91.0,171.0,GBR,Athletics,F
Myrtle Sharon Mary Augee,27.0,91.0,171.0,GBR,Athletics,F
Stacey Orlando Augmon,20.0,87.0,200.0,USA,Basketball,M
Seimone Delicia Augustus,24.0,74.0,183.0,USA,Basketball,F
Seimone Delicia Augustus,28.0,74.0,183.0,USA,Basketball,F
Seimone Delicia Augustus,32.0,74.0,183.0,USA,Basketball,F
"Richard Francis ""Dick"" Ault",22.0,78.0,188.0,USA,Athletics,M
Charles Allen Austin,24.0,77.0,183.0,USA,Athletics,M
Charles Allen Austin,28.0,77.0,183.0,USA,Athletics,M
Charles Allen Austin,32.0,77.0,183.0,USA,Athletics,M
"Michael MacKay ""Mike"" Austin",21.0,85.0,185.0,USA,Swimming,M
"Stephen John ""Steve"" Austin",29.0,65.0,174.0,AUS,Athletics,M
Margaret M. Auton,17.0,63.0,175.0,GBR,Swimming,F
Olga Avalos-Appell,32.0,59.0,173.0,USA,Athletics,F
Marshall Scott Avener,21.0,55.0,170.0,USA,Gymnastics,M
Marshall Scott Avener,25.0,55.0,170.0,USA,Gymnastics,M
Sumie Awara,23.0,61.0,171.0,JPN,Athletics,F
Daniel James Awde,20.0,75.0,182.0,GBR,Athletics,M
Daniel James Awde,24.0,75.0,182.0,GBR,Athletics,M
Carlos Antnio  da Rocha Azevedo,17.0,80.0,185.0,BRA,Swimming,M
Miyoko Azuma,19.0,60.0,162.0,JPN,Swimming,F
Yoshihiro Azuma,21.0,60.0,172.0,JPN,Athletics,M
Jennifer Lynn Azzi,27.0,64.0,172.0,USA,Basketball,F
Ba Yan,21.0,78.0,183.0,CHN,Basketball,F
"Jack Babashoff, Jr.",21.0,84.0,191.0,USA,Swimming,M
Shirley Frances Babashoff,15.0,67.0,178.0,USA,Swimming,F
Shirley Frances Babashoff,19.0,67.0,178.0,USA,Swimming,F
"Henry Stoddard ""Harry"" Babcock",21.0,75.0,188.0,USA,Athletics,M
Alonzo Carl Babers,22.0,70.0,188.0,USA,Athletics,M
"Richard Aldrich ""Rink"" Babka",23.0,121.0,195.0,USA,Athletics,M
"Jack Stangl ""Jack"" Bacheler",24.0,77.0,200.0,USA,Athletics,M
"Jack Stangl ""Jack"" Bacheler",28.0,77.0,200.0,USA,Athletics,M
Jrgen Bachmann,18.0,77.0,182.0,GER,Swimming,M
"Ronald Lee ""Ron"" Backes",29.0,125.0,190.0,USA,Athletics,M
Robin James Backhaus,17.0,77.0,183.0,USA,Swimming,M
Gerald Ian d'Acres Backhouse,23.0,57.0,165.0,AUS,Athletics,M
"Stephen James ""Steve"" Backley",23.0,102.0,195.0,GBR,Athletics,M
"Stephen James ""Steve"" Backley",27.0,102.0,195.0,GBR,Athletics,M
"Stephen James ""Steve"" Backley",31.0,102.0,195.0,GBR,Athletics,M
"Stephen James ""Steve"" Backley",35.0,102.0,195.0,GBR,Athletics,M
"Robert Hudson ""Bob"" Backus",26.0,120.0,195.0,USA,Athletics,M
"Charles James Bacon, Jr.",19.0,77.0,183.0,USA,Athletics,M
"Charles James Bacon, Jr.",21.0,77.0,183.0,USA,Athletics,M
"Charles James Bacon, Jr.",23.0,77.0,183.0,USA,Athletics,M
"Andrew James ""Andy"" Baddeley",26.0,70.0,186.0,GBR,Athletics,M
"Andrew James ""Andy"" Baddeley",30.0,70.0,186.0,GBR,Athletics,M
Joel Baden,20.0,70.0,190.0,AUS,Athletics,M
Stephan Michael Baeck,27.0,88.0,194.0,GER,Basketball,M
"Edward ""Ed"" Bagdonas",23.0,105.0,188.0,USA,Athletics,M
Jos Alessandro Bernardo Baggio,23.0,63.0,172.0,BRA,Athletics,M
Jos Alessandro Bernardo Baggio,27.0,63.0,172.0,BRA,Athletics,M
Jos Alessandro Bernardo Baggio,35.0,63.0,172.0,BRA,Athletics,M
John R. Baguley,20.0,77.0,188.0,AUS,Athletics,M
Bai Anqi,19.0,59.0,164.0,CHN,Swimming,F
Katsuo Bai,23.0,77.0,182.0,JPN,Basketball,M
Bai Xue,19.0,53.0,165.0,CHN,Athletics,F
Andrew James Baildon,17.0,78.0,186.0,AUS,Swimming,M
Andrew James Baildon,20.0,78.0,186.0,AUS,Swimming,M
