id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
46403,Suzuka Hasegawa,F,16.0,165.0,56.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,
46542,Natasha Monique Hastings,F,30.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,
46542,Natasha Monique Hastings,F,30.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
46543,Amy Elizabeth Hastings-Cragg,F,32.0,163.0,45.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
46553,Airi Hatakeyama,F,21.0,170.0,49.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
46589,Camilla Hattersley,F,21.0,174.0,59.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,
46589,Camilla Hattersley,F,21.0,174.0,59.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
46621,Anne Haug,F,33.0,164.0,51.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
46645,Franzisca Hauke,F,26.0,172.0,63.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
46647,Tobias Constantin Hauke,M,28.0,183.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Bronze
46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,
46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,
46762,Callum Hawkins,M,24.0,179.0,62.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
46764,Derek Hawkins,M,27.0,180.0,68.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
46804,Kenichi Hayakawa,M,30.0,177.0,80.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,
46814,Nagisa Hayashi,F,29.0,165.0,58.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
46816,Yuki Hayashi,F,31.0,163.0,65.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
46816,Yuki Hayashi,F,31.0,163.0,65.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,
46915,Shota Hazui,M,29.0,177.0,77.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
46921,He Chao,M,24.0,168.0,57.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,
46926,He Jianbin,M,23.0,188.0,83.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
46936,He Wenna,F,27.0,160.0,50.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,
46948,He Zi,F,25.0,159.0,51.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,Silver
46990,"Suzanne ""Sue"" Hearn",F,60.0,165.0,68.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",
46990,"Suzanne ""Sue"" Hearn",F,60.0,165.0,68.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",
46997,Liam Nicholas Heath,M,31.0,182.0,81.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold
46997,Liam Nicholas Heath,M,31.0,182.0,81.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
46999,Tobin Powell Heath,F,28.0,168.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
47198,Betty Heidler,F,32.0,175.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,
47204,Jacob Oskar Julius Heidtmann,M,21.0,195.0,83.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
47204,Jacob Oskar Julius Heidtmann,M,21.0,195.0,83.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,
47228,Erik Heil,M,26.0,185.0,80.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Bronze
47274,Silvio Heinevetter,M,31.0,194.0,99.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
47284,Fabian Heinle,M,22.0,187.0,72.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
47310,Philip Marvin Heintz,M,25.0,194.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,
47384,Ryan Held,M,21.0,,,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
47525,Nina Hemmer,F,23.0,165.0,55.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",
47559,Scott Robert Hend,M,42.0,180.0,82.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,
47578,"Jeffrey ""Jeff"" Henderson",M,27.0,183.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,Gold
47585,Rebecca Henderson,F,24.0,158.0,49.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Mountainbike, Cross-Country",
